#,phrase,label,sentiment
890,coquill perdu partie,1,tristesse
891,étranger propre,1,tristesse
892,mal sentir ressentir,1,tristesse
893,épuisant sentir décalage,1,tristesse
894,montagn haut jamais,1,tristesse
895,envie sortir tristesse,1,tristesse
896,dur sentir fantôme,1,tristesse
897,coquill partie perdre,1,tristesse
898,envie faire,1,tristesse
899,mal sentir île perdre,1,tristesse
900,épuisant sentir décalage,1,tristesse
901,rout jamais,1,tristesse
902,envie sortir douleur,1,tristesse
903,dur sentir fantôme monde,1,tristesse
904,coquill partie éteint,1,tristesse
905,étranger propre route,1,tristesse
906,dur sentir fantôme monde,1,tristesse
907,mur trop cafard dire,1,tristesse
908,in the navir,1,tristesse
909,gues why they call it the,1,tristesse
910,monde trop envie of simon,1,tristesse
911,the petit,1,tristesse
912,sens tear for,1,tristesse
913,envie jackson,1,tristesse
914,pink mode,1,tristesse
915,perdu hors with no,1,tristesse
916,fool the monde tourn autour,1,tristesse
917,sentir loin,1,tristesse
918,you were pink vide absence,1,tristesse
919,beau,1,tristesse
920,billy,1,tristesse
921,,1,tristesse
922,vrai montagn,1,tristesse
923,blue to led,1,tristesse
924,john chose être,1,tristesse
925,blue the,1,tristesse
926,the air phil chose,1,tristesse
927,sens jacques brel chant quitte perle plui venue pays pleuvoir sentiment trop,1,tristesse
928,renaud vraiment chose vraiment chose idé capable communiquer tristesse,1,tristesse
929,garou capturer sentiment chanter vieux loup,1,tristesse
930,léo ferrer chanté mot résonner,1,tristesse
931,partirai chant julien clerc sentiment vouloir chose comprend,1,tristesse
932,georges moustaki comprendre sentiment paradoxal détester solitud,1,tristesse
933,daniel guichard chanter chanson retrouv attirer chanson,1,tristesse
934,sens serg lama chant complètement description parfait,1,tristesse
935,barbara chanter beau lac mot capturer parfaitement sentiment tristess perte ressen,1,tristesse
936,blue vouloir pouvoir faire sens piéger insatisfaire,1,tristesse
937,quitte perle plui venue pays pleuvoir,1,tristesse
938,vraiment chose vraiment chose,1,tristesse
939,vieux loup,1,tristesse
940,,1,tristesse
941,partir,1,tristesse
942,,1,tristesse
943,chanson,1,tristesse
944,complètement,1,tristesse
945,beau lac,1,tristesse
946,vouloir pouvoir faire,1,tristesse
947,,1,tristesse
948,verra,1,tristesse
949,fois oiseau chanter,1,tristesse
950,mal vivre traîn amour,1,tristesse
951,chose,1,tristesse
952,,1,tristesse
953,neuf,1,tristesse
954,faire mieux rester,1,tristesse
955,cœur,1,tristesse
956,dur vivre dur,1,tristesse
957,suffire matin,1,tristesse
958,veux mourir nuit,1,tristesse
959,cœur,1,tristesse
960,sens nuit,1,tristesse
961,petit rêvai chanson,1,tristesse
962,drôle,1,tristesse
963,ami parti,1,tristesse
964,beau beau passer,1,tristesse
965,vouloir partir loin,1,tristesse
966,,1,tristesse
967,,1,tristesse
968,peur dormir jamais,1,tristesse
969,soir cœur,1,tristesse
970,mourir grand lit ciel,1,tristesse
971,merveilleux,1,tristesse
972,rien pouvoir,1,tristesse
973,,1,tristesse
974,vent,1,tristesse
975,habiller,1,tristesse
976,vouloir,1,tristesse
977,sens,1,tristesse
978,mal dire,1,tristesse
979,vouloir voir monde grain,1,tristesse
980,quitte trop tôt trop,1,tristesse
981,trop trop,1,tristesse
982,veux veux,1,tristesse
983,gigue venir bout,1,tristesse
984,croire jour croire souvenir,1,tristesse
985,,1,tristesse
986,vie,1,tristesse
987,,1,tristesse
988,sai,1,tristesse
989,,1,tristesse
990,entendre,1,tristesse
991,nuit pense,1,tristesse
992,,1,tristesse
993,danser ruine,1,tristesse
994,homme,1,tristesse
995,amour,1,tristesse
996,difficile vivre,1,tristesse
997,,1,tristesse
998,vouloir regarder,1,tristesse
999,vieux bout,1,tristesse
1000,nuit mer peine,1,tristesse
1001,danser jouer oublier,1,tristesse
1002,veux crever main,1,tristesse
1003,absence silence rien,1,tristesse
1004,promet sel baiser,1,tristesse
1005,monter,1,tristesse
1006,vie destin joue,1,tristesse
1007,gamin,1,tristesse
1008,temps,1,tristesse
1009,feuille mort ramasser souvenir regret,1,tristesse
1010,envie,1,tristesse
1011,,1,tristesse
1012,revenir grand boeing bleu,1,tristesse
1013,pouvai,1,tristesse
1014,jour grand,1,tristesse
1015,oeil regard,1,tristesse
1016,,1,tristesse
1017,nuit,1,tristesse
1018,jour,1,tristesse
1019,jamais,1,tristesse
1020,pleuvoir cesse brest,1,tristesse
1021,,1,tristesse
1022,feuille mort ramasser,1,tristesse
1023,,1,tristesse
1024,adieu par,1,tristesse
1025,vouloir,1,tristesse
1026,,1,tristesse
1027,,1,tristesse
1028,,1,tristesse
1029,,1,tristesse
1030,falloir,1,tristesse
1031,tomber esclavage,1,tristesse
1032,amour,1,tristesse
1033,quitté,1,tristesse
1034,,1,tristesse
1035,revien fond,1,tristesse
1036,,1,tristesse
1037,regarde ciel gris,1,tristesse
1038,quitté silence assourdir,1,tristesse
1039,perdu mer incapable sauver,1,tristesse
1040,vouloir voix briser,1,tristesse
1041,tristesse devenir unique,1,tristesse
1042,sentir chose être arracher,1,tristesse
1043,rêve feuille,1,tristesse
1044,sourire triste dire,1,tristesse
1045,jour,1,tristesse
1046,plui tomber refléter parfaitement état,1,tristesse
1047,tristesse devenir,1,tristesse
1048,cœur lourd regret,1,tristesse
1049,jamais connaître solitude,1,tristesse
1050,cœur pleurer larme yeux refuser,1,tristesse
1051,sentir navir perdu boussol,1,tristesse
1052,tourner laisser cœur briser,1,tristesse
1053,tristesse yeux pouvoir,1,tristesse
1054,présence devenir,1,tristesse
1055,douleur souvenir,1,tristesse
1056,jour combat cacher tristesse,1,tristesse
1057,tristesse nuag obscurcir,1,tristesse
1058,cœur verre,1,tristesse
1059,sentir cœur serrer penser,1,tristesse
1060,tristesse fardeau porter,1,tristesse
1061,coquill priver sentiment,1,tristesse
1062,solitud devenir,1,tristesse
1063,cœur noyer océan,1,tristesse
1064,rêve tombé ruine autour,1,tristesse
1065,esprit labyrinthe douleur,1,tristesse
1066,sentir oiseau aile incapable,1,tristesse
1067,tristesse fantôme quitter,1,tristesse
1068,emportant bonheur,1,tristesse
1069,lourdeur cœur pouvai,1,tristesse
1070,sentir soldat lutte,1,tristesse
1071,tristesse laisser cicatric,1,tristesse
1072,sentir cœur briser souvenir,1,tristesse
1073,jour lutte garder tristesse,1,tristesse
1074,prisonnier propre,1,tristesse
1075,tristesse enveloppé cœur couvertur,1,tristesse
1076,acteur jouant cacher vrai,1,tristesse
1077,sentir livre page déborder,1,tristesse
1078,battement cœur rappel douleur,1,tristesse
1079,tristesse ombr obscurcir moment,1,tristesse
1080,cœur piano incapable jouer,1,tristesse
1081,sentir tristesse dévorer,1,tristesse
1082,laisser vide immense,1,tristesse
1083,sentir perdre mer,1,tristesse
1084,tristesse devenir second,1,tristesse
1085,cœur toil coup pinceau souvenir,1,tristesse
1086,étranger propre submerger,1,tristesse
1087,genre soirée retrouver fixer penser moment sourire réaliser,1,tristesse
1088,regarde ciel gris journer demander nuage ressentir lourdeur,1,tristesse
1089,maison vide coin rappeler bruir rappell,1,tristesse
1090,regarder soleil coucher raconter sentiment,1,tristesse
1091,pouvoir revenir arrière revivre moment revivr,1,tristesse
1092,promener rue vide regarder film manqu,1,tristesse
1093,réveiller espérer mauver réaliser réalité,1,tristesse
1094,souvenir jour rire écho moment,1,tristesse
1095,regarder photo douleur lancinant appuyer bouton,1,tristesse
1096,éteindre lumière tâtonner essayer comprendre mal,1,tristesse
1097,essayer noyer peine chanson rappeler point,1,tristesse
1098,éternel hiver chercher rayon,1,tristesse
1099,essayer faire semblant aller porter masque devenir lourd,1,tristesse
1100,aimé être voir point médaill,1,tristesse
1101,drôle silence présente manqu,1,tristesse
1102,regarder numéro hésiter réaliser sentiment,1,tristesse
1103,perdu pleine immense étendre,1,tristesse
1104,regarder vague briser rocher penser briser,1,tristesse
1105,long tunnel chercher lumière,1,tristesse
1106,lente agonir jour nuit sommeil moment,1,tristesse
1107,chanson triste boucle note rappell poindre,1,tristesse
1108,milieu sentir complètement solitud souhaiter,1,tristesse
1109,bouteille parfum sentir douleur,1,tristesse
1110,livre tourn page vi,1,tristesse
1111,toil pinceau créer,1,tristesse
1112,film regarder,1,tristesse
1113,horloge temps arrêter,1,tristesse
1114,poèm ciel,1,tristesse
1115,voyage continuer marcher sai,1,tristesse
1116,chanson danse vie,1,tristesse
1117,rêve continuer dormir,1,tristesse
1118,lettre histoire amour,1,tristesse
1119,livre chanson cœur,1,tristesse
1120,jardin nuit,1,tristesse
1121,océan forêt vie,1,tristesse
1122,ciel rout espoir,1,tristesse
1123,mer désert monde,1,tristesse
1124,montagn rivière amour,1,tristesse
1125,ciel terr,1,tristesse
1126,monde chanson cœur,1,tristesse
1127,oiseau rêv vie,1,tristesse
1128,océan désert amour,1,tristesse
1129,tableau livre monde,1,tristesse
1130,fleur chanson cœur,1,tristesse
1131,rêve histoire vie,1,tristesse
1132,moyen voix hant écho résonn,1,tristesse
1133,porter poids mond,1,tristesse
1134,plein gris,1,tristesse
1135,dur sourir envie,1,tristesse
1136,souvenir blessur guérit,1,tristesse
1137,monde coincer,1,tristesse
1138,sens bateau perdre mer,1,tristesse
1139,vie café,1,tristesse
1140,absence trou aspir,1,tristesse
1141,sens partie,1,tristesse
1142,jour mal voir bout,1,tristesse
1143,sens mond entier,1,tristesse
1144,temps guérir mal,1,tristesse
1145,coin dur,1,tristesse
1146,fois ferme rêve,1,tristesse
1147,parti prendre partie,1,tristesse
1148,sens parfum dur,1,tristesse
1149,réveiller espérer mauvais,1,tristesse
1150,sens puzzle incomplet,1,tristesse
1151,montgolfière,1,tristesse
1152,cœur jardin froid mort,1,tristesse
1153,vie ciel,1,tristesse
1154,musicien trouve,1,tristesse
1155,départ plaie mal,1,tristesse
1156,feuill emporter sens perdre,1,tristesse
1157,sens chandell,1,tristesse
1158,nuit sombre,1,tristesse
1159,livre page tortur,1,tristesse
1160,poète,1,tristesse
1161,vie,1,tristesse
1162,horloge coincer temp,1,tristesse
1163,cœur mer calme vide,1,tristesse
1164,oiseau avancer,1,tristesse
1165,vie repa,1,tristesse
1166,paysage vide fin,1,tristesse
1167,chanson triste vie,1,tristesse
1168,lever soleil froid,1,tristesse
1169,arbr sen nu exposé,1,tristesse
1170,rout sens perdre,1,tristesse
1171,battement cœur rappel,1,tristesse
1172,danse rythm vie,1,tristesse
1173,monde film noir blanc,1,tristesse
1174,étoile perdre,1,tristesse
1175,vie dessert,1,tristesse
1176,minute,1,tristesse
1177,fleur sen fané,1,tristesse
1178,vie jour,1,tristesse
1179,poisson sen place,1,tristesse
1180,second,1,tristesse
1181,cœur piano jouer musiqu vie,1,tristesse
1182,chien mangé pair chaussure sentiment,1,tristesse
1183,cassé vase sentiment perte,1,tristesse
1184,oublier anniversaire travail sen,1,tristesse
1185,réussir finir sentiment,1,tristesse
1186,perdu fichier ordinateur désespoir,1,tristesse
1187,comprendre vraiment sentiment,1,tristesse
1188,raté final séri sens,1,tristesse
1189,oublier nourrir poisson culpabilité,1,tristesse
1190,voiture tomber pann pleine sentir,1,tristesse
1191,ami déménager sentimer,1,tristesse
1192,essayer jouer piano trop sens,1,tristesse
1193,larguer,1,tristesse
1194,énorme erreur travail sen,1,tristesse
1195,équipe perdre défaite,1,tristesse
1196,découvrir acteur préférer gentil vrai,1,tristesse
1197,oublier mot passer compte sens,1,tristesse
1198,renverser café,1,tristesse
1199,disputé meilleur sensation,1,tristesse
1200,perdu portefeuill sens,1,tristesse
1201,ex sentiment rejet,1,tristesse
1202,film préférer suite sensation,1,tristesse
1203,perdu emploi monde effondré autour,1,tristesse
1204,manquer bus arriver retard jour sentimer,1,tristesse
1205,plui sentiment,1,tristesse
1206,être choisir sentir,1,tristesse
1207,rater concour vraiment,1,tristesse
1208,sens coquill vide perdre difficile,1,tristesse
1209,rêve devenir artiste,1,tristesse
1210,entreprise poid dur,1,tristesse
1211,meilleur ami appel,1,tristesse
1212,aller concert groupe frustrant,1,tristesse
1213,dispute constante maison mal,1,tristesse
1214,nouveau monde déprimant dernier moral,1,tristesse
1215,rater bus jour frustrant,1,tristesse
1216,faire exercice sen dépasser,1,tristesse
1217,méchant réseal déprim,1,tristesse
1218,plante préférer mort,1,tristesse
1219,recevoir mauvais note,1,tristesse
1220,sens impuisser problème,1,tristesse
1221,dernier vraiment,1,tristesse
1222,comprendre frustrant,1,tristesse
1223,équipe préférer vraiment,1,tristesse
1224,ruiner dessert paraître vraiment,1,tristesse
1225,dernier épisode séri préférer vraiment,1,tristesse
1226,sens déconnecter vraiment,1,tristesse
1227,sens constamment compétition,1,tristesse
1228,perdu bagu frustrant,1,tristesse
1229,fatiguer battr vraiment,1,tristesse
1230,mal lever matin vraiment,1,tristesse
1231,déborder travail trouv temps,1,tristesse
1232,perdu motivation vraiment,1,tristesse
1233,être inviter fête vraiment,1,tristesse
1234,écrir dernier frustrant,1,tristesse
1235,penser personne âgé maison,1,tristesse
1236,jardin commence mourir soleil,1,tristesse
1237,plante mort vrai,1,tristesse
1238,vol voir famille être coup,1,tristesse
1239,conférence dérouler,1,tristesse
1240,livre lisai semaine terminer manière gâch,1,tristesse
1241,perdu portefeuill situation,1,tristesse
1242,café fermer vrai coup,1,tristesse
1243,parc jouai enfant être détruire construire,1,tristesse
1244,manquer concert groupe mettre sacrer coup,1,tristesse
1245,donner amende stationnement pensai,1,tristesse
1246,rater vol cause mond autour,1,tristesse
1247,gâteau préparer ami,1,tristesse
1248,restaurer préférer changer propriétaire nourriture,1,tristesse
1249,émission préférer être annuler mal,1,tristesse
1250,vélo être voler,1,tristesse
1251,échouer examen conduite,1,tristesse
1252,série préférer prendre direction plaît gâch,1,tristesse
1253,chat voisin,1,tristesse
1254,recette cookie sacrer coup,1,tristesse
1255,raté train,1,tristesse
1256,fête surprise être ruiner pincement,1,tristesse
1257,oublier mettre réveil retard,1,tristesse
1258,personnage préférer mort,1,tristesse
1259,égarer cler vrai,1,tristesse
1260,ordinateur planté sauvegarder vrai coup,1,tristesse
1261,dernier épisode séri favorite poiss,1,tristesse
1262,arrêter fabriquer parfum bout,1,tristesse
1263,vieux arbr parc être,1,tristesse
1264,meilleur amie déménager,1,tristesse
1265,portable tomber journée pourri,1,tristesse
1266,groupe musiqu préférer gros,1,tristesse
1267,film vrai gâchi,1,tristesse
1268,chien mâchouillé chaussure,1,tristesse
1269,roman auteur préférer,1,tristesse
1270,équipe foot gâch,1,tristesse
1271,café coin matin,1,tristesse
1272,voiture démarr cauchemar,1,tristesse
1273,voisin décider,1,tristesse
1274,jean préférer,1,tristesse
1275,boutique vinyle quartier,1,tristesse
1276,pler tomate survivre,1,tristesse
1277,arrêter diffuser émission radio coup,1,tristesse
1278,boulanger prendre pain,1,tristesse
1279,parc courir être transformer déception,1,tristesse
1280,coiffeus rater bout,1,tristesse
1281,cassé lunette soleil,1,tristesse
1282,plante verte préférer triste,1,tristesse
1283,renverser café,1,tristesse
1284,bar favori augmenter mauvais,1,tristesse
1285,supprimé fonction favorite vrai coup,1,tristesse
1286,perdu billet,1,tristesse
1287,librairie favorite fin,1,tristesse
1288,recette être,1,tristesse
1289,artiste préférer arrêter,1,tristesse
1290,tatoueur parti,1,tristesse
1291,salle sport fermé,1,tristesse
1292,dernier saison séri préférer vraiment,1,tristesse
1293,prix netflix tuil,1,tristesse
1294,groupe préférer annuler gros,1,tristesse
1295,magasin vêtement favori,1,tristesse
1296,perdu bracelet,1,tristesse
1297,muser aller fermer,1,tristesse
1298,dernier chanson chanteur préférer,1,tristesse
1299,restaurant favori changer,1,tristesse
1300,artiste préférer mettre faire musiqu,1,tristesse
1301,chat griffé canapé,1,tristesse
1302,rater dernier épisode séri tuil,1,tristesse
1303,parcour jogging préférer fermé,1,tristesse
1304,dessert préférer menu,1,tristesse
1305,voisin préférer,1,tristesse
1306,boulangerie favorite changer recette,1,tristesse
1307,concert être,1,tristesse
1308,plage favorite plage fin,1,tristesse
1309,héros band dessinée préférer mort dernier,1,tristesse
1310,voiture favorite fin,1,tristesse
1311,jeu vidéo préférer,1,tristesse
1312,fille sortir meilleur,1,tristesse
1313,rater journé,1,tristesse
1314,annuler émission,1,tristesse
1315,dernier épisode séri préférer foutre,1,tristesse
1316,ordi planter plein milieu,1,tristesse
1317,équipe foot perdre gros,1,tristesse
1318,dernier album groupe préférer foutre,1,tristesse
1319,acteur favori arrêter,1,tristesse
1320,perdu portefeuill,1,tristesse
1321,série favorite être,1,tristesse
1322,restaurant préférer changer foutre,1,tristesse
1323,rater film,1,tristesse
1324,écrivain favori décider prendre,1,tristesse
1325,application préférer être supprimer,1,tristesse
1326,rater,1,tristesse
1327,meilleur ami pincement,1,tristesse
1328,magasin préférer,1,tristesse
1329,café favori augmenter,1,tristesse
1330,héros bd mort dernier,1,tristesse
1331,groupe musiqu préférer,1,tristesse
1332,frère cassé,1,tristesse
1333,film préférer être retirer,1,tristesse
1334,parc courir être transformer,1,tristesse
1335,gâteau brûler,1,tristesse
1336,équipe rugby perdu fond,1,tristesse
1337,voiture tomber pann pleine,1,tristesse
1338,dj préférer arrêter,1,tristesse
1339,pizza favorite menu,1,tristesse
1340,chanteur préférer arrêter fin,1,tristesse
1341,perdu,1,tristesse
1342,roman favori,1,tristesse
1343,dessin animé préférer être,1,tristesse
1344,cassé écouteur,1,tristesse
1345,glace préférer,1,tristesse
1346,série netflix préférer foutre,1,tristesse
1347,prof préférer part,1,tristesse
1348,boulangerie favorite,1,tristesse
1349,disqu dur lâcher,1,tristesse
1350,band dessiner favorite fini,1,tristesse
1351,marqu vêtement favorite,1,tristesse
1352,jeu société préférer,1,tristesse
1353,bar préférer,1,tristesse
1354,plante favorite fin,1,tristesse
1355,perdu billet,1,tristesse
1356,sac do préférer,1,tristesse
1357,série préférer fin,1,tristesse
1358,bière préférer,1,tristesse
1359,téléphoner tomber,1,tristesse
1360,chanson préférer être retirer fin,1,tristesse
1361,plante verte rendre blue,1,tristesse
1362,vacance,1,tristesse
1363,concert être annuler cause trop,1,tristesse
1364,chat cassé vase,1,tristesse
1365,oublier,1,tristesse
1366,cadeau voulai ruptur,1,tristesse
1367,ordi venir faire mettre jour fichier,1,tristesse
1368,dernier page bouquin préférer être,1,tristesse
1369,resto réserver chéri,1,tristesse
1370,loupé dernier épisode,1,tristesse
1371,voisin travail bruit,1,tristesse
1372,rater dernier fond,1,tristesse
1373,volé,1,tristesse
1374,colis semaine foutre,1,tristesse
1375,groupe préférer décider faire,1,tristesse
1376,échapper téléphoner fin,1,tristesse
1377,plat préférer,1,tristesse
1378,perdu pull,1,tristesse
1379,parc aller fermé,1,tristesse
1380,meilleur pote,1,tristesse
1381,série être trop,1,tristesse
1382,égarer,1,tristesse
1383,film préférer être supprimer plateform,1,tristesse
1384,perdu bracelet,1,tristesse
1385,groupe musiqu préférer,1,tristesse
1386,voiture trop,1,tristesse
1387,chanson préférer être retirer,1,tristesse
1388,cassé,1,tristesse
1389,command ligne être,1,tristesse
1390,perdu billet,1,tristesse
1391,équipe perdre vraiment,1,tristesse
1392,disqu dur perdre trop,1,tristesse
1393,site préférer,1,tristesse
1394,écrivain préférer arrêter vraiment,1,tristesse
1395,oublier sac do foutre,1,tristesse
1396,consol jeu fonctionner fin,1,tristesse
1397,perdu chapeau,1,tristesse
1398,jeu vidéo préférer fonctionner trop,1,tristesse
1399,montr cesser,1,tristesse
1400,renverser café,1,tristesse
1401,confitur préférer rupture,1,tristesse
1402,perdu,1,tristesse
1403,vélo être vraiment,1,tristesse
1404,oublier code,1,tristesse
1405,perdu ticket loterie,1,tristesse
1406,restaurant préférer augmenter trop,1,tristesse
1407,cassé lunette soleil,1,tristesse
1408,perdu casquette,1,tristesse
1409,café préférer fermé,1,tristesse
1410,oublier meilleur fin,1,tristesse
1411,laisser brûler,1,tristesse
1412,perdre bout,1,tristesse
1413,ordi crasher sauvegarder,1,tristesse
1414,équipe favorite perdre,1,tristesse
1415,bus partir,1,tristesse
1416,cassé casqu,1,tristesse
1417,dernier épisode séri préférer,1,tristesse
1418,rater coucher,1,tristesse
1419,oublier lunch,1,tristesse
1420,colocataire utiliser,1,tristesse
1421,grand père mort,1,tristesse
1422,pauvre,1,tristesse
1423,veux mourir,1,tristesse
1424,pauvreter,1,tristesse
1425,perdu ticket,1,tristesse
1426,pleuvoir jour,1,tristesse
1427,manquer,1,tristesse
1428,cassé tasser mettre moral,1,tristesse
1429,perdu match vraiment,1,tristesse
1430,aspirateur,1,tristesse
1431,échapper vraiment trop,1,tristesse
1432,rater bus,1,tristesse
1433,chien mangé journé,1,tristesse
1434,laisser brûler fin,1,tristesse
1435,stylo préférer,1,tristesse
1436,oublier,1,tristesse
1437,meilleur ami vraiment,1,tristesse
1438,perdu cler,1,tristesse
1439,déchiré jean trop,1,tristesse
1440,dernier film vraiment,1,tristesse
1441,laisser tomber ic,1,tristesse
1442,cassé verre,1,tristesse
1443,gâteau,1,tristesse
1444,équipe perdre vraiment,1,tristesse
1445,rater trop,1,tristesse
1446,renverser café,1,tristesse
1447,égarer livre,1,tristesse
1448,site streaming préférer,1,tristesse
1449,perdu,1,tristesse
1450,oublier déjeuner,1,tristesse
1451,restaurer préférer vraiment,1,tristesse
1452,perdu vest,1,tristesse
1453,rater dernier,1,tristesse
1454,film préférer être retirer foutre,1,tristesse
1455,perdu,1,tristesse
1456,téléphoner tomber,1,tristesse
1457,perdu billet vraiment,1,tristesse
1458,laisser brûler trop,1,tristesse
1459,émission préférer être,1,tristesse
1460,renverser café,1,tristesse
1461,vélo être fin,1,tristesse
1462,oublier vraiment,1,tristesse
1463,laisser tomber,1,tristesse
1464,plat préférer,1,tristesse
1465,perdre vraiment,1,tristesse
1466,livre préférer rupture,1,tristesse
1467,casque audio,1,tristesse
1468,équipe favorite perdre vraiment,1,tristesse
1469,perdre vraiment,1,tristesse
1470,jeu vidéo préférer,1,tristesse
1471,laisser portefeuille fin,1,tristesse
1472,échapper téléphon,1,tristesse
1473,téléphoner vraiment,1,tristesse
1474,laisser tomber vraiment,1,tristesse
1475,perdu bracelet,1,tristesse
1476,rater,1,tristesse
1477,ordinateur planter perdre,1,tristesse
1478,chat griffé vraiment,1,tristesse
1479,groupe préférer,1,tristesse
1480,perdu billet trop,1,tristesse
1481,vélo,1,tristesse
1482,laisser sac do vraiment,1,tristesse
1483,équipe préférer perdre vraiment,1,tristesse
1484,laisser tomber fin,1,tristesse
1485,ordi vraiment,1,tristesse
1486,renverser café chemisier,1,tristesse
1487,oublier mettre,1,tristesse
1488,sandwich tomber,1,tristesse
1489,oublier,1,tristesse
1490,rater vraiment,1,tristesse
1491,cassé,1,tristesse
1492,émission préférer,1,tristesse
1493,oublier papier,1,tristesse
1494,groupe préférer annuler vraiment,1,tristesse
1495,perdu chapeau fin,1,tristesse
1496,chat griffé canapé vraiment,1,tristesse
1497,oublier vraiment,1,tristesse
1498,livre préférer être,1,tristesse
1499,rater,1,tristesse
1500,cassé tasser,1,tristesse
1501,équipe préférer vraiment,1,tristesse
1502,égarer,1,tristesse
1503,perdu billet,1,tristesse
1504,cassé vraiment,1,tristesse
1505,restaurer préférer,1,tristesse
1506,oublier prendre,1,tristesse
1507,ordinateur vraiment,1,tristesse
1508,cassé verre,1,tristesse
1509,perdu montr vraiment,1,tristesse
1510,rater dernier épisode séri,1,tristesse
1511,égarer livre,1,tristesse
1512,laisser brûler,1,tristesse
1513,perdu billet vraiment,1,tristesse
1514,rater vraiment,1,tristesse
1515,monde vraiment croire connaître coup couteau non,1,tristesse
1516,monde entier tourn dire monde trouver sens,1,tristesse
1517,savoir invisible,1,tristesse
1518,regarder fenêtre demande jour rien jamais,1,tristesse
1519,monde autour mond regardai vie travers sens déconnecter,1,tristesse
1520,couche demain réveiller rend compte rien vraiment,1,tristesse
1521,sai trop ressen,1,tristesse
1522,regarde demande arriver profiter comprend sen,1,tristesse
1523,étranger propre acteur film vraiment dérouter,1,tristesse
1524,sens entourer île complètement vraiment sensation,1,tristesse
1525,jour mer agiter pouvoir reprendre vraiment,1,tristesse
1526,réveiller poid porter monde vraiment épuisant savoir,1,tristesse
1527,sai jamais hauteur jamais ressentir,1,tristesse
1528,tunnel courai jamais atteindre vraiment effrayer savoir,1,tristesse
1529,couche coeur tourbillon penser vraiment épuisant savoir,1,tristesse
1530,prendre pièg propre pouvai échapper propre vraiment effrayer savoir,1,tristesse
1531,carrousel tournai rond jamais trouver vraiment dérouter sens,1,tristesse
1532,sens entourer complètement isolé vraiment sensation,1,tristesse
1533,marcher pouvai tomber vraiment effrayer savoir garder,1,tristesse
1534,réveiller sentiment rien vraiment terrifier savoir,1,tristesse
1535,tempête pouvoir échapper plui vraiment effrayer savoir,1,tristesse
1536,puzzle pièce pouvoir jamais vraiment déprimer sens,1,tristesse
1537,sens labyrinthe vraiment effrayer sai retrouver,1,tristesse
1538,réveiller sentimer pouvai jamais faire chose vraiment déprimer sai,1,tristesse
1539,contrôler vraiment effrayer sens,1,tristesse
1540,jour montagn gravir force souffl vent,1,tristesse
1541,désert endroit rien vide solitude tenir,1,tristesse
1542,bateau prendre savoir remonter,1,tristesse
1543,étoile briller perdu univer lumière,1,tristesse
1544,course piégé boucle temporel douleur,1,tristesse
1545,dire pièce remplir refléter image triste échapper,1,tristesse
1546,voix dire rien cacophonie penser sombre cesser,1,tristesse
1547,papillon prendre toil prendre pièg toil,1,tristesse
1548,réveiller chambre endroit sombre mur resserrer autour vraiment,1,tristesse
1549,feuill emporter contrôle sen vraiment perdre,1,tristesse
1550,battement cœur rappel rythm conster douleur tristesse,1,tristesse
1551,clown sourire pleurer masque porte cacher devenir lourd,1,tristesse
1552,route marchant pluie rout solitaire savoir,1,tristesse
1553,château fragile prêt existence précaire sens vraiment,1,tristesse
1554,invisible oeil vraiment sensation,1,tristesse
1555,oiseau aile échapper cage tristesse,1,tristesse
1556,arbr feuille nu exposé dure sens vraiment vulnérable,1,tristesse
1557,livre vouloir page plein tristesse,1,tristesse
1558,tableau couleur sombre vie pleine tristesse,1,tristesse
1559,acteur pièce jouant rôle homm,1,tristesse
1560,enfant perdu grand effrayé sentir vraiment perdre,1,tristesse
1561,pêcheur lancant filet ramassant existence vide,1,tristesse
1562,jardinier jardin terre,1,tristesse
1563,musicien jouer mélodi note résonner douleur tristesse,1,tristesse
1564,chandell brûle épuiser sentir vraiment épuiser bord,1,tristesse
1565,cassé clé arriver mauver moment,2,colere
1566,bus partir courir dérater,2,colere
1567,mec piquer place parking,2,colere
1568,boss demande faire heure sup engagement foutre rogne,2,colere
1569,marre bout,2,colere
1570,voisin exprès passer fois mets vraiment,2,colere
1571,vien faire spoiler dernier épisode séri,2,colere
1572,ex venir poster photo voir vraiment,2,colere
1573,serveur apporter café ler demander café noir haut point,2,colere
1574,queue heure concert venir,2,colere
1575,connexion internet couper plein milieu partie train,2,colere
1576,sentir obliger couper vraiment agacer,2,colere
1577,chien besoin tapis mettre,2,colere
1578,commander pizza oublier haut point,2,colere
1579,falloir réveil sonn plein milieu rêv sympa mettre,2,colere
1580,heure venir retard,2,colere
1581,queue pleine faire comprendre,2,colere
1582,bloquer bouchon exaspérer,2,colere
1583,colocataire fumer,2,colere
1584,cinéma film,2,colere
1585,grever métro vrai impossible rentrer,2,colere
1586,tomber sandwich fromag tomber chemise mettre rogner,2,colere
1587,passer imbécile collègue repri idé nerf pelote,2,colere
1588,laisser porte toilette,2,colere
1589,voisin décider faire traval matin énerver haut point,2,colere
1590,vien réaliser laisser cler claquer vraiment bout,2,colere
1591,rage contre mec garer voiture milieu égoïste,2,colere
1592,batterie téléphon mort pire appel vraiment,2,colere
1593,brûler langue vraiment gâcher,2,colere
1594,planté sauvegard rage,2,colere
1595,distributeur billet pann vraiment besoin haut,2,colere
1596,raté train cause contrôleur retenir vérifier,2,colere
